% MP,res,freq (Hz),real(mf.VCoil_2/(mf.ICoil_1*mf.omega*1j)) (H),imag(mf.VCoil_2/(mf.ICoil_1*mf.omega*1j)) (H),real(mf.VCoil_3/(mf.ICoil_1*mf.omega*1j)) (H),imag(mf.VCoil_3/(mf.ICoil_1*mf.omega*1j)) (H)
200,2e-07,3000,0.000634252751313302,-1.55618598891746e-06,0.000358953839396746,-0.000171653516865152
200,2e-07,6000,0.000631139621971688,-3.46571715419878e-05,0.000303547162466097,-0.000121008464400536
200,2e-07,12000,0.000600197294468218,-6.33982950736091e-05,0.000267775457268348,-0.000101100282207588
200,2e-07,24000,0.000558071002166255,-7.11855095906581e-05,0.000226129535154704,-9.078429571291e-05
200,2e-07,48000,0.000524338786878466,-6.73319683243756e-05,0.000185518793773905,-7.38513372599032e-05
200,4e-07,375,0.000608576660851063,2.65164585435671e-07,0.000664109181264032,-0.000101337648787997
200,4e-07,750,0.000610959793597673,9.19115447579717e-06,0.000603955219714361,-0.000169302981766436
200,4e-07,1500,0.000625297868837563,1.3193145245313e-05,0.00047945790888921,-0.000210750052543615
200,4e-07,3000,0.000641440490481264,-3.1801652610456e-06,0.000358761251196724,-0.000171782477155938
200,4e-07,6000,0.000637302108510609,-3.62347264904139e-05,0.000303481541336009,-0.000120992837153219
200,4e-07,12000,0.000605722521805392,-6.47921763146425e-05,0.000267764644583056,-0.000101089155224478
200,4e-07,24000,0.000563014610932608,-7.25683499191734e-05,0.000226123839773829,-9.07820680437701e-05
200,4e-07,48000,0.000528726617261973,-6.86142085286107e-05,0.000185513634969637,-7.38485700722367e-05
200,6e-07,375,0.000613090595652668,1.39634346570951e-06,0.000664706264094922,-0.000101476626611865
200,6e-07,750,0.000615659064174188,9.65682757351241e-06,0.000604296414827887,-0.000169703410407175
200,6e-07,1500,0.00062997259807639,1.30064474461312e-05,0.000479442416113775,-0.000211076711949189
200,6e-07,3000,0.000645711154765924,-3.78131636084261e-06,0.000358651307266619,-0.000171873865907042
200,6e-07,6000,0.000641122844100887,-3.68830874643909e-05,0.00030343821435055,-0.000120987958355265
200,6e-07,12000,0.000609307136315812,-6.54138731206065e-05,0.000267756263720977,-0.000101082353542146
200,6e-07,24000,0.000566355066024001,-7.33652893742934e-05,0.000226119857210842,-9.07804978787234e-05
200,6e-07,48000,0.000531572469984781,-6.95372491215563e-05,0.000185510319106469,-7.38465905050068e-05
200,8e-07,375,0.000616150653507118,2.54695174294551e-06,0.000665121919041799,-0.000101509884581687
200,8e-07,750,0.000618864538617652,1.00799609125247e-05,0.000604569115321845,-0.000169961582349182
200,8e-07,1500,0.000633171636130133,1.30080487002475e-05,0.00047944249947364,-0.000211316765605169
200,8e-07,3000,0.000648697092137687,-4.04949567964508e-06,0.000358575922053346,-0.000171944010812991
200,8e-07,6000,0.000643870483360691,-3.72011351523511e-05,0.000303405825752035,-0.000120986826983773
200,8e-07,12000,0.000611958452846479,-6.57293006913962e-05,0.00026774937555465,-0.000101077600665935
200,8e-07,24000,0.000568910345808422,-7.3855967265056e-05,0.000226116726592231,-9.0779320998217e-05
200,8e-07,48000,0.000533789309940237,-7.02328508238721e-05,0.00018550773605002,-7.38450449540198e-05
200,1e-06,375,0.000618307074397265,3.6902034882556e-06,0.000665426238936374,-0.000101493442326448
200,1e-06,750,0.000621314797288537,1.04856616907988e-05,0.000604794449918519,-0.000170139858640095
200,1e-06,1500,0.00063557343445964,1.30740905261336e-05,0.000479453631042314,-0.000211507288501456
200,1e-06,3000,0.000650963533692687,-4.17731948136241e-06,0.000358518584864854,-0.00017200101106048
200,1e-06,6000,0.000645999123630331,-3.73635558121728e-05,0.000303380071747774,-0.00012098738700898
200,1e-06,12000,0.000614053715202259,-6.58933977778829e-05,0.000267743508021819,-0.000101074019841131
200,1e-06,24000,0.00057098121136074,-7.41744347279037e-05,0.000226114129512391,-9.07783894661592e-05
200,1e-06,48000,0.00053562945349722,-7.07656788933897e-05,0.000185505581439681,-7.38437957954756e-05
300,2e-07,375,0.00060523512228784,-2.77692188581759e-07,0.000663645470088719,-0.000101148121044394
300,2e-07,750,0.00060749942127904,8.96856675487005e-06,0.000603749492653814,-0.000169013441585545
300,2e-07,1500,0.000621854543439783,1.34323618781468e-05,0.000479461441342161,-0.000210520809599096
300,2e-07,3000,0.000638372139528642,-2.61588235346926e-06,0.000358838325368359,-0.000171714535468368
300,2e-07,6000,0.000634678830292028,-3.56699385972899e-05,0.000303512548552606,-0.000120994642745
300,2e-07,12000,0.000603460131777098,-6.44223611443656e-05,0.000267771244819464,-0.000101093291743913
300,2e-07,24000,0.000560984673941678,-7.26850119206356e-05,0.000226126529004183,-9.07827967245567e-05
