permeability,resistivity,H_imag_375,H_imag_750,H_imag_1500,H_imag_3000,H_imag_6000,H_imag_12000,H_imag_24000,H_imag_48000,H_real_375,H_real_750,H_real_1500,H_real_3000,H_real_6000,H_real_12000,H_real_24000,H_real_48000
300,8e-07,0.00010523042151778904,0.0001812556760944484,0.0002248880768697848,0.00016780098703785253,8.35173265026852e-05,3.50742755342417e-05,1.6358308646661094e-05,2.469755637133302e-06,-4.649092303053194e-05,1.7942052475219007e-05,0.00015797915042041298,0.00029431955908677294,0.00034434539815365997,0.000348018473027478,0.000346630179715725,0.000351856919078283
300,1e-06,0.00010607535981463122,0.0001818976028404488,0.0002252475174047456,0.0001678677035684734,8.34871491466166e-05,3.50392554643924e-05,1.6170118250909704e-05,2.0768974311538026e-06,-4.4883661330709064e-05,1.9850094190156076e-05,0.00016018415454592902,0.000296539408440086,0.00034646160878180996,0.00035014105371615695,0.00034878475111539204,0.000353829486061524
400,2e-07,0.0001017253910852257,0.0001784773616287061,0.00022384918309795038,0.0001685445962999199,8.46905632410209e-05,3.5918018128812e-05,1.6844064887478206e-05,2.776898711920003e-06,-5.5619562208327985e-05,7.022994294661987e-06,0.00014580756939913203,0.000282599733097011,0.000333845966247364,0.00033821058544505206,0.00033705285751221603,0.00034194280973815205
400,4e-07,0.0001039036319629751,0.0001801586864848641,0.00022430951496456221,0.0001678210306506199,8.37455253666953e-05,3.5281141731899495e-05,1.6529149946923697e-05,2.188133691265808e-06,-4.968792943948802e-05,1.419354781208098e-05,0.00015374482432933004,0.0002900776954769,0.000340409012706929,0.000344254864945789,0.00034307881879761697,0.00034840451756178897
400,6e-07,0.00010522071213292704,0.0001812711571949393,0.0002248894035265305,0.00016776358453414548,8.34957012475173e-05,3.50575406485965e-05,1.62491725593191e-05,1.9021466361938115e-06,-4.671711168185099e-05,1.789105065628301e-05,0.00015799554714265098,0.00029430105592311294,0.00034431383290613405,0.00034802060946466205,0.00034675208187191103,0.000352028294975289
400,8e-07,0.00010614606930451513,0.00018210200283367179,0.000225386918579647,0.00016786482990283844,8.346591245641921e-05,3.5027338033822507e-05,1.608189970800441e-05,1.6394744985297037e-06,-4.4806638031301936e-05,2.0301130705530947e-05,0.00016079671203462998,0.00029716539810355696,0.000347039575475012,0.00035073751169470294,0.000349479257502258,0.00035461083541602
400,1e-06,0.00010687813465782493,0.00018276517495211,0.0002258023424145141,0.00016801268080104132,8.35219185341729e-05,3.50857287786877e-05,1.6005583242953195e-05,1.406958927390001e-06,-4.3413482660942964e-05,2.204168589288295e-05,0.00016284960528980104,0.000299292310625237,0.000349102774553907,0.00035284185882482094,0.000351652108682008,0.000356661339526581
500,2e-07,0.0001024165769736433,0.0001789315534878944,0.00022386646003120332,0.00016820805808896616,8.425001753741221e-05,3.5299380550289606e-05,1.57548179856473e-05,1.351960384780702e-06,-5.3585422746066976e-05,9.450349399618978e-06,0.00014839877964593098,0.000284990834589891,0.00033599620793157503,0.00034025908013675903,0.00033878054318174893,0.000342787523585784
500,4e-07,0.00010462754610816253,0.0001807702828642019,0.0002245645984625336,0.00016772859663069243,8.35686576738997e-05,3.50646504267675e-05,1.5949596456521807e-05,9.976594594559055e-07,-4.8051515104844e-05,1.628219049497402e-05,0.00015611999778938402,0.000292385823036427,0.000342548494763203,0.000346401202201408,0.000345265980852846,0.00035015091936655394
500,6e-07,0.0001059299250306802,0.00018192901581059909,0.0002252492802218133,0.00016779832521681716,8.344753538051541e-05,3.500565021432801e-05,1.5945899007342498e-05,1.0002853786952951e-06,-4.529750761404696e-05,1.9745337918649058e-05,0.000160198547154701,0.000296508463872867,0.0003464030885213,0.00035014945829717296,0.000349017816198367,0.00035411554111652605
500,8e-07,0.00010683760469579736,0.00018276195478699288,0.0002258092272834513,0.00016797819505168414,8.35006732234583e-05,3.5074704005806596e-05,1.59343060876469e-05,9.603039440512064e-07,-4.3559851095985986e-05,2.1989653139418996e-05,0.00016286201528354396,0.00029927930730986994,0.00034907335195990397,0.00035283592042037,0.00035174997003763,0.00035684409387808406
500,1e-06,0.00010752602163594212,0.0001834192843735654,0.00022626372335683421,0.00016817895836124965,8.361620274502e-05,3.5203299028222006e-05,1.59591269434094e-05,8.907853436698971e-07,-4.231588675080594e-05,2.3609877680825977e-05,0.000164796585407458,0.00030132478107866394,0.000351082393080589,0.000354906045883343,0.000353911271648405,0.00035895672923220306
600,2e-07,0.00010298986968451799,0.00017933947470387849,0.0002239406230048561,0.00016799316519195795,8.39163956113937e-05,3.47614501144006e-05,1.4787702343149804e-05,1.3633966794090947e-07,-5.201165555848296e-05,1.1353697646025013e-05,0.00015046628492826195,0.00028694322436838494,0.000337792220876658,0.00034197234822315,0.000340183079849529,0.000343367516360663
600,4e-07,0.00010521769439389076,0.000181281256566957,0.00022481151171589053,0.0001677069991348967,8.34773565292271e-05,3.4919105919948196e-05,1.5444499115484304e-05,-5.314011528170315e-08,-4.679997327669506e-05,1.7901327641124047e-05,0.000157985794587307,0.00029422686708512096,0.000344288948029637,0.000348187999378448,0.000347095061830557,0.00035156479505349397
600,6e-07,0.00010648927407114257,0.0001824717385382519,0.00022556833196621322,0.00016786955862726496,8.345898545304451e-05,3.5012743232354306e-05,1.57078272090334e-05,2.0719522497899808e-07,-4.421846469821302e-05,2.117812662589104e-05,0.000161915641631083,0.00029825182138685,0.000348078426706359,0.000351893601342447,0.00035091525029397905,0.000355843818060063
